date;Alnus;Betula;Taxus;Fraxinus;Poaceae;Quercus;Ulmus;Urtica
2010-01-01;;;;;;;;
2010-01-02;;;;;;;;
2010-01-03;;;;;;;;
2010-01-04;;;;;;;;
2010-01-05;;;;;;;;
2010-01-06;;;;;;;;
2010-01-07;;;;;;;;
2010-01-08;;;;;;;;
2010-01-09;;;;;;;;
2010-01-10;;;;;;;;
2010-01-11;;;;;;;;
2010-01-12;;;;;;;;
2010-01-13;;;;;;;;
2010-01-14;;;;;;;;
2010-01-15;;;;;;;;
2010-01-16;;;;;;;;
2010-01-17;;;;;;;;
2010-01-18;;;;;;;;
2010-01-19;;;;;;;;
2010-01-20;;;;;;;;
2010-01-21;;;;;;;;
2010-01-22;;;;;;;;
2010-01-23;;;;;;;;
2010-01-24;;;;;;;;
2010-01-25;;;;;;;;
2010-01-26;;;;;;;;
2010-01-27;;;;;;;;
2010-01-28;;;;;;;;
2010-01-29;;;;;;;;
2010-01-30;;;;;;;;
2010-01-31;;;;;;;;
2010-02-01;;;;;;;;
2010-02-02;;;;;;;;
2010-02-03;;;;;;;;
2010-02-04;;;;;;;;
2010-02-05;;;;;;;;
2010-02-06;;;;;;;;
2010-02-07;;;;;;;;
2010-02-08;;;;;;;;
2010-02-09;;;;;;;;
2010-02-10;;;;;;;;
2010-02-11;;;;;;;;
2010-02-12;;;;;;;;
2010-02-13;;;;;;;;
2010-02-14;;;;;;;;
2010-02-15;;;;;;;;
2010-02-16;;;;;;;;
2010-02-17;;;;;;;;
2010-02-18;;;;;;;;
2010-02-19;;;;;;;;
2010-02-20;;;;;;;;
2010-02-21;;;;;;;;
2010-02-22;;;;;;;;
2010-02-23;;;;;;;;
2010-02-24;0;0;0;0;0;0;0;0
2010-02-25;10;0;0;0;0;0;0;0
2010-02-26;12;0;0;0;0;0;0;0
2010-02-27;31;0;3;0;0;0;0;0
2010-02-28;49;0;1;0;0;0;0;0
2010-03-01;40;0;2;0;0;0;0;0
2010-03-02;39;0;0;0;0;0;0;0
2010-03-03;11;0;0;0;0;0;0;0
2010-03-04;3;0;0;0;0;0;0;0
2010-03-05;2;0;0;0;0;0;0;0
2010-03-06;4;0;0;0;0;0;0;0
2010-03-07;0;0;0;0;0;0;0;0
2010-03-08;0;0;0;0;0;0;0;0
2010-03-09;0;0;0;0;0;0;0;0
2010-03-10;7;0;0;0;0;0;0;0
2010-03-11;11;0;0;0;0;0;0;0
2010-03-12;0;0;0;0;0;0;0;0
2010-03-13;0;0;0;0;0;0;0;0
2010-03-14;1;0;0;0;0;0;0;0
2010-03-15;12;0;0;0;0;0;0;0
2010-03-16;5;0;21;0;0;0;0;0
2010-03-17;20;0;6;0;0;0;0;0
2010-03-18;66;0;10;1;0;0;0;0
2010-03-19;129;0;39;0;0;0;0;0
2010-03-20;208;0;56;0;0;0;1;0
2010-03-21;91;0;145;0;0;0;0;0
2010-03-22;56;0;48;0;0;0;0;0
2010-03-23;58;0;590;0;0;0;0;0
2010-03-24;;0;1340;0;0;0;3;0
2010-03-25;;4;554;0;0;0;28;0
2010-03-26;;3;732;0;0;0;31;0
2010-03-27;;5;;0;0;0;31;0
2010-03-28;;1;;1;0;0;0;0
2010-03-29;;0;;;0;0;6;0
2010-03-30;;7;254;;0;1;142;0
2010-03-31;2;;33;;0;1;63;0
2010-04-01;2;;0;;0;1;21;0
2010-04-02;0;;0;;0;0;22;0
2010-04-03;3;;15;;0;1;75;0
2010-04-04;0;;17;383;0;5;69;0
2010-04-05;0;;6;164;0;5;25;0
2010-04-06;1;;9;505;0;2;50;0
2010-04-07;0;;8;1556;0;2;66;0
2010-04-08;2;;54;812;0;5;18;0
2010-04-09;0;386;45;1091;0;4;28;0
2010-04-10;0;126;6;691;0;2;26;0
2010-04-11;0;42;6;691;0;2;9;0
2010-04-12;0;21;3;486;0;2;;0
2010-04-13;0;53;1;288;0;2;;0
2010-04-14;0;22;1;51;0;0;;0
2010-04-15;0;40;1;103;0;1;;0
2010-04-16;0;209;2;215;0;7;;0
2010-04-17;0;483;12;407;0;2;;0
2010-04-18;0;469;28;275;0;5;;0
2010-04-19;0;398;4;;0;7;;0
2010-04-20;1;861;10;;0;12;16;0
2010-04-21;0;502;12;;;6;9;0
2010-04-22;0;160;4;;;2;10;0
2010-04-23;0;394;1;;;4;23;0
2010-04-24;0;581;3;;;4;16;0
2010-04-25;0;627;2;;;22;44;0
2010-04-26;0;794;5;92;;42;42;0
2010-04-27;0;98;1;21;;10;7;0
2010-04-28;0;171;23;16;;34;7;0
2010-04-29;2;180;4;29;;52;2;0
2010-04-30;0;369;17;40;;189;2;0
2010-05-01;0;13;8;1;0;11;0;0
2010-05-02;0;3;1;0;0;8;0;0
2010-05-03;0;3;0;0;0;5;0;0
2010-05-04;0;0;0;0;0;8;0;0
2010-05-05;0;23;0;2;3;29;0;0
2010-05-06;0;0;0;0;0;1;0;0
2010-05-07;0;4;0;0;0;15;0;0
2010-05-08;0;4;0;1;5;20;0;0
2010-05-09;2;12;4;3;5;18;0;0
2010-05-10;0;0;5;0;2;29;0;0
2010-05-11;0;7;7;1;6;36;0;0
2010-05-12;0;2;3;0;3;9;0;0
2010-05-13;0;0;0;0;0;1;0;0
2010-05-14;0;0;0;0;1;;0;0
2010-05-15;0;0;1;0;2;;0;0
2010-05-16;0;10;0;0;2;;0;0
2010-05-17;0;1;0;1;17;;0;0
2010-05-18;0;5;0;0;9;;0;0
2010-05-19;0;0;1;0;2;;0;0
2010-05-20;0;0;0;0;1;;0;0
2010-05-21;0;1;0;0;1;;0;0
2010-05-22;0;1;0;0;5;;0;0
2010-05-23;0;1;5;0;7;12;0;0
2010-05-24;0;1;0;0;11;6;0;0
2010-05-25;0;3;3;0;20;6;0;0
2010-05-26;0;3;0;0;20;13;0;1
2010-05-27;0;0;0;0;1;0;0;0
2010-05-28;0;0;0;0;13;4;0;1
2010-05-29;0;0;0;0;9;1;0;3
2010-05-30;0;0;0;0;7;0;0;0
2010-05-31;0;0;0;0;1;0;0;0
2010-06-01;0;0;1;0;0;0;1;0
2010-06-02;0;0;0;0;0;0;0;0
2010-06-03;0;0;0;0;0;0;0;0
2010-06-04;0;2;5;0;13;0;0;1
2010-06-05;0;0;0;0;54;0;0;0
2010-06-06;1;0;0;0;46;2;0;4
2010-06-07;4;0;0;0;43;1;0;3
2010-06-08;1;0;0;0;48;0;0;3
2010-06-09;14;0;1;0;98;1;0;12
2010-06-10;10;0;2;0;117;1;0;4
2010-06-11;10;1;1;0;179;3;0;14
2010-06-12;11;0;1;0;111;2;0;24
2010-06-13;2;0;0;0;117;2;0;47
2010-06-14;0;0;0;0;16;0;0;22
2010-06-15;0;0;0;0;20;1;0;16
2010-06-16;0;0;0;0;14;0;0;13
2010-06-17;1;0;0;0;1;0;0;
2010-06-18;0;0;0;0;18;0;0;
2010-06-19;0;1;0;0;3;0;0;
2010-06-20;0;0;0;0;3;0;0;
2010-06-21;0;0;0;0;4;0;0;
2010-06-22;0;0;0;0;46;0;0;
2010-06-23;0;0;0;0;76;0;0;
2010-06-24;0;0;0;0;30;0;0;
2010-06-25;0;0;0;0;33;0;0;
2010-06-26;0;0;0;0;11;0;0;
2010-06-27;0;0;0;0;22;0;0;114
2010-06-28;0;0;0;0;16;0;0;126
2010-06-29;0;0;0;0;20;0;0;69
2010-06-30;0;0;0;0;8;0;0;102
2010-07-01;0;0;0;0;13;0;0;142
2010-07-02;0;0;0;0;19;0;0;170
2010-07-03;0;0;0;0;25;0;0;154
2010-07-04;0;0;0;0;22;0;0;94
2010-07-05;0;0;0;0;10;0;0;97
2010-07-06;0;0;0;0;28;0;0;148
2010-07-07;0;0;0;0;31;0;0;120
2010-07-08;0;0;0;0;29;0;0;122
2010-07-09;0;0;0;0;22;0;0;133
2010-07-10;0;0;0;0;19;0;0;145
2010-07-11;0;0;0;0;15;0;0;244
2010-07-12;0;0;0;0;21;0;0;209
2010-07-13;0;0;0;0;24;0;0;130
2010-07-14;0;0;0;0;18;0;0;91
2010-07-15;0;0;0;0;12;0;0;103
2010-07-16;0;0;0;0;17;0;0;146
2010-07-17;0;0;0;0;3;0;0;70
2010-07-18;0;0;0;0;2;0;0;15
2010-07-19;0;0;0;0;12;0;0;85
2010-07-20;0;0;0;0;20;0;0;108
2010-07-21;0;0;0;0;1;0;0;35
2010-07-22;0;0;0;0;10;0;0;54
2010-07-23;;;;;;;;
2010-07-24;;;;;;;;
2010-07-25;;;;;;;;
2010-07-26;;;;;;;;
2010-07-27;0;0;0;0;4;0;0;14
2010-07-28;0;0;0;0;4;0;0;23
2010-07-29;0;0;0;0;1;0;0;9
2010-07-30;0;0;0;0;4;0;0;7
2010-07-31;0;0;0;0;13;0;0;31
2010-08-01;0;0;0;0;6;0;0;32
2010-08-02;0;0;0;0;5;0;0;14
2010-08-03;0;0;0;0;0;0;0;2
2010-08-04;;;;;;;;
2010-08-05;;;;;;;;
2010-08-06;;;;;;;;
2010-08-07;;;;;;;;
2010-08-08;;;;;;;;
2010-08-09;;;;;;;;
2010-08-10;0;0;0;0;4;0;0;26
2010-08-11;0;0;0;0;7;0;0;54
2010-08-12;0;0;0;0;5;0;0;12
2010-08-13;0;0;0;0;0;0;0;26
2010-08-14;0;0;0;0;1;0;0;40
2010-08-15;0;0;0;0;2;0;0;45
2010-08-16;0;0;1;0;3;0;0;12
2010-08-17;0;0;0;0;0;0;0;33
2010-08-18;0;0;0;0;3;0;0;62
2010-08-19;0;0;0;0;6;0;0;59
2010-08-20;0;0;1;0;4;0;0;76
2010-08-21;0;0;0;0;4;0;0;67
2010-08-22;0;0;0;0;2;0;0;36
2010-08-23;0;0;0;0;1;0;0;53
2010-08-24;0;0;0;0;2;0;0;31
2010-08-25;0;0;0;0;5;0;0;57
2010-08-26;0;0;0;0;2;0;0;18
2010-08-27;0;0;0;0;0;0;0;25
2010-08-28;0;0;0;0;0;0;0;14
2010-08-29;0;0;0;0;2;0;0;24
2010-08-30;0;0;1;0;0;0;0;14
2010-08-31;0;0;0;0;0;0;0;17
2010-09-01;0;0;0;0;1;0;0;29
2010-09-02;0;0;0;0;1;0;0;23
2010-09-03;0;0;0;0;2;0;0;18
2010-09-04;0;0;0;0;1;0;0;16
2010-09-05;0;0;0;0;3;0;0;14
2010-09-06;0;0;0;0;4;0;0;15
2010-09-07;0;0;0;0;2;0;0;14
2010-09-08;0;0;0;0;4;0;0;5
2010-09-09;0;0;0;0;1;0;0;5
2010-09-10;0;0;0;0;1;0;0;8
2010-09-11;0;0;0;0;0;0;0;6
2010-09-12;0;0;0;0;2;0;0;9
2010-09-13;0;0;0;0;0;0;0;0
2010-09-14;0;0;0;0;0;0;0;1
2010-09-15;0;0;0;0;2;0;0;5
2010-09-16;0;0;0;0;1;0;0;5
2010-09-17;0;0;0;0;0;0;0;6
2010-09-18;0;0;0;0;1;0;0;5
2010-09-19;0;0;0;0;1;0;0;2
2010-09-20;0;0;0;0;1;0;0;4
2010-09-21;0;0;0;0;1;0;0;1
2010-09-22;0;0;0;0;0;0;0;2
2010-09-23;0;0;0;0;0;0;0;4
2010-09-24;0;0;0;0;0;0;0;5
2010-09-25;0;0;0;0;0;0;0;0
2010-09-26;0;0;0;0;0;0;0;3
2010-09-27;0;0;0;0;0;0;0;0
2010-09-28;0;0;0;0;1;0;0;2
2010-09-29;0;0;0;0;0;0;0;0
2010-09-30;0;0;0;0;1;0;0;0
2010-10-01;0;0;0;0;1;0;0;1
2010-10-02;0;0;0;0;0;0;0;0
2010-10-03;0;0;0;0;0;0;0;0
2010-10-04;0;0;0;0;0;0;0;0
2010-10-05;0;0;0;0;0;0;0;0
2010-10-06;0;0;0;0;0;0;0;0
2010-10-07;0;0;0;0;0;0;0;0
2010-10-08;0;0;0;0;1;0;0;0
2010-10-09;0;0;0;0;0;0;0;0
2010-10-10;0;0;0;0;1;0;0;0
2010-10-11;0;0;0;0;1;0;0;0
2010-10-12;0;0;0;0;0;0;0;0
2010-10-13;0;0;0;0;0;0;0;0
2010-10-14;0;0;0;0;0;0;0;0
2010-10-15;0;0;0;0;0;0;0;0
2010-10-16;0;0;0;0;0;0;0;0
2010-10-17;0;0;0;0;0;0;0;0
2010-10-18;0;0;0;0;0;0;0;0
2010-10-19;0;0;0;0;0;0;0;0
2010-10-20;0;0;0;0;0;0;0;0
2010-10-21;0;0;0;0;0;0;0;0
2010-10-22;0;0;0;0;0;0;0;0
2010-10-23;0;0;0;0;0;0;0;0
2010-10-24;0;0;0;0;0;0;0;0
2010-10-25;0;0;0;0;0;0;0;0
2010-10-26;0;0;0;0;0;0;0;0
2010-10-27;0;0;0;0;0;0;0;1
2010-10-28;0;0;0;0;2;0;0;0
2010-10-29;0;0;0;0;0;0;0;0
2010-10-30;0;0;0;0;0;0;0;0
2010-10-31;1;0;0;0;0;0;0;1
2010-11-01;0;0;0;0;1;0;0;0
2010-11-02;0;0;0;0;0;0;0;0
2010-11-03;;;;;;;;
2010-11-04;;;;;;;;
2010-11-05;;;;;;;;
2010-11-06;;;;;;;;
2010-11-07;;;;;;;;
2010-11-08;;;;;;;;
2010-11-09;;;;;;;;
2010-11-10;;;;;;;;
2010-11-11;;;;;;;;
2010-11-12;;;;;;;;
2010-11-13;;;;;;;;
2010-11-14;;;;;;;;
2010-11-15;;;;;;;;
2010-11-16;;;;;;;;
2010-11-17;;;;;;;;
2010-11-18;;;;;;;;
2010-11-19;;;;;;;;
2010-11-20;;;;;;;;
2010-11-21;;;;;;;;
2010-11-22;;;;;;;;
2010-11-23;;;;;;;;
2010-11-24;;;;;;;;
2010-11-25;;;;;;;;
2010-11-26;;;;;;;;
2010-11-27;;;;;;;;
2010-11-28;;;;;;;;
2010-11-29;;;;;;;;
2010-11-30;;;;;;;;
2010-12-01;;;;;;;;
2010-12-02;;;;;;;;
2010-12-03;;;;;;;;
2010-12-04;;;;;;;;
2010-12-05;;;;;;;;
2010-12-06;;;;;;;;
2010-12-07;;;;;;;;
2010-12-08;;;;;;;;
2010-12-09;;;;;;;;
2010-12-10;;;;;;;;
2010-12-11;;;;;;;;
2010-12-12;;;;;;;;
2010-12-13;;;;;;;;
2010-12-14;;;;;;;;
2010-12-15;;;;;;;;
2010-12-16;;;;;;;;
2010-12-17;;;;;;;;
2010-12-18;;;;;;;;
2010-12-19;;;;;;;;
2010-12-20;;;;;;;;
2010-12-21;;;;;;;;
2010-12-22;;;;;;;;
2010-12-23;;;;;;;;
2010-12-24;;;;;;;;
2010-12-25;;;;;;;;
2010-12-26;;;;;;;;
2010-12-27;;;;;;;;
2010-12-28;;;;;;;;
2010-12-29;;;;;;;;
2010-12-30;;;;;;;;
2010-12-31;;;;;;;;
2011-01-01;;;;;;;;
2011-01-02;;;;;;;;
2011-01-03;;;;;;;;
2011-01-04;;;;;;;;
2011-01-05;;;;;;;;
2011-01-06;;;;;;;;
2011-01-07;;;;;;;;
2011-01-08;;;;;;;;
2011-01-09;;;;;;;;
2011-01-10;;;;;;;;
2011-01-11;;;;;;;;
2011-01-12;;;;;;;;
2011-01-13;;;;;;;;
2011-01-14;;;;;;;;
2011-01-15;;;;;;;;
2011-01-16;;;;;;;;
2011-01-17;;;;;;;;
2011-01-18;;;;;;;;
2011-01-19;;;;;;;;
2011-01-20;;;;;;;;
2011-01-21;;;;;;;;
2011-01-22;;;;;;;;
2011-01-23;;;;;;;;
2011-01-24;;;;;;;;
2011-01-25;;;;;;;;
2011-01-26;;;;;;;;
2011-01-27;;;;;;;;
2011-01-28;;;;;;;;
2011-01-29;;;;;;;;
2011-01-30;;;;;;;;
2011-01-31;;;;;;;;
2011-02-01;;;;;;;;
2011-02-02;;;;;;;;
2011-02-03;;;;;;;;
2011-02-04;;;;;;;;
2011-02-05;;;;;;;;
2011-02-06;;;;;;;;
2011-02-07;;;;;;;;
2011-02-08;10;0;0;0;0;0;0;0
2011-02-09;11;0;0;0;0;0;0;0
2011-02-10;48;0;0;0;0;0;0;0
2011-02-11;88;0;2;0;0;0;0;0
2011-02-12;30;0;3;0;0;0;0;0
2011-02-13;11;0;0;0;0;0;0;0
2011-02-14;8;0;0;0;0;0;0;0
2011-02-15;11;0;0;0;0;0;0;0
2011-02-16;7;0;0;0;0;0;0;0
2011-02-17;15;0;0;0;0;0;0;0
2011-02-18;12;0;0;0;0;0;0;0
2011-02-19;6;0;1;0;0;0;0;0
2011-02-20;53;0;0;0;0;0;0;0
2011-02-21;13;0;0;0;0;0;0;0
2011-02-22;15;0;0;0;0;0;0;0
2011-02-23;20;0;0;0;0;0;0;0
2011-02-24;19;0;0;0;0;0;0;0
2011-02-25;25;0;0;0;0;0;0;0
2011-02-26;34;0;1;0;0;0;0;0
2011-02-27;5;0;3;0;0;0;0;0
2011-02-28;55;0;0;0;0;0;0;0
2011-03-01;73;0;1;0;0;0;0;0
2011-03-02;83;0;3;0;0;0;0;0
2011-03-03;26;0;0;0;0;0;0;0
2011-03-04;7;0;0;0;0;0;0;0
2011-03-05;7;0;2;0;0;0;0;0
2011-03-06;33;0;33;1;0;0;1;0
2011-03-07;48;0;7;0;0;0;0;0
2011-03-08;44;0;64;0;0;0;0;0
2011-03-09;78;0;895;0;0;0;0;0
2011-03-10;187;0;646;1;0;0;2;0
2011-03-11;96;0;123;4;0;0;5;0
2011-03-12;179;0;310;0;0;0;3;0
2011-03-13;347;0;1512;0;0;0;9;0
2011-03-14;181;0;2340;0;0;0;20;0
2011-03-15;669;0;1406;0;0;0;19;0
2011-03-16;343;0;407;0;0;0;48;0
2011-03-17;56;0;77;2;0;0;39;0
2011-03-18;14;0;70;4;0;0;0;0
2011-03-19;72;0;53;2;0;0;9;0
2011-03-20;82;0;0;0;0;0;39;0
2011-03-21;77;0;99;0;0;0;34;0
2011-03-22;31;0;279;0;0;0;42;0
2011-03-23;28;0;1606;1;0;0;37;0
2011-03-24;30;0;780;21;0;0;60;0
2011-03-25;40;2;915;141;0;0;44;0
2011-03-26;8;3;209;361;1;0;16;0
2011-03-27;0;0;1;9;0;0;0;0
2011-03-28;3;0;49;70;0;5;7;0
2011-03-29;1;0;87;160;0;0;34;0
2011-03-30;3;2;146;673;0;3;22;0
2011-03-31;4;0;96;664;0;2;5;0
2011-04-01;1;3;33;465;0;3;7;0
2011-04-02;1;6;137;1660;0;4;5;0
2011-04-03;1;75;234;1208;0;2;7;0
2011-04-04;0;465;129;624;0;4;3;0
2011-04-05;1;58;36;159;0;0;1;0
2011-04-06;0;301;66;265;0;10;0;0
2011-04-07;2;1184;184;256;0;22;1;0
2011-04-08;0;1324;60;114;2;25;0;0
2011-04-09;0;702;13;38;0;14;0;0
2011-04-10;0;260;7;65;0;1;1;0
2011-04-11;0;190;3;22;1;4;0;0
2011-04-12;0;475;10;44;0;76;0;0
2011-04-13;1;77;12;14;0;21;0;0
2011-04-14;2;37;2;6;0;5;0;0
2011-04-15;0;27;4;3;0;3;0;0
2011-04-16;1;23;4;5;0;11;0;0
2011-04-17;0;58;5;11;0;13;0;0
2011-04-18;0;79;16;14;0;19;0;0
2011-04-19;0;54;6;9;0;35;0;0
2011-04-20;1;59;15;4;0;71;0;0
2011-04-21;0;168;51;3;1;169;1;0
2011-04-22;0;51;45;0;3;230;0;0
2011-04-23;0;105;16;9;7;271;0;1
2011-04-24;0;107;16;2;6;211;0;0
2011-04-25;1;83;73;2;5;237;0;1
2011-04-26;1;27;2;5;1;71;0;0
2011-04-27;0;12;5;0;0;46;0;1
2011-04-28;0;21;9;4;9;46;0;3
2011-04-29;1;30;63;2;6;124;0;4
2011-04-30;0;12;28;0;13;30;0;2
2011-05-01;0;3;2;1;1;15;0;0
2011-05-02;0;7;4;3;1;18;0;0
2011-05-03;0;8;3;1;2;24;0;0
2011-05-04;0;5;3;0;3;6;0;0
2011-05-05;0;1;2;0;10;15;0;1
2011-05-06;0;1;1;0;11;9;0;0
2011-05-07;0;4;3;0;14;18;0;0
2011-05-08;0;11;3;2;26;62;0;2
2011-05-09;0;8;2;4;18;68;0;0
2011-05-10;1;3;0;0;4;13;0;0
2011-05-11;0;0;4;0;13;12;0;0
2011-05-12;0;5;0;0;14;23;0;0
2011-05-13;0;3;0;1;20;22;0;2
2011-05-14;0;1;0;0;7;7;0;0
2011-05-15;2;1;0;1;5;5;0;0
2011-05-16;0;3;0;0;4;7;0;0
2011-05-17;0;0;0;0;14;3;0;1
2011-05-18;2;0;0;0;18;5;0;1
2011-05-19;8;2;3;1;30;5;0;0
2011-05-20;2;0;2;0;15;1;0;1
2011-05-21;0;0;1;0;28;2;0;0
2011-05-22;1;1;2;0;35;7;0;1
2011-05-23;1;0;0;1;53;1;0;1
2011-05-24;0;2;0;0;80;1;0;0
2011-05-25;1;2;1;0;163;4;0;3
2011-05-26;23;1;5;0;90;4;0;1
2011-05-27;0;0;0;0;14;1;0;0
2011-05-28;2;0;0;0;29;2;0;2
2011-05-29;0;0;0;0;55;0;0;3
2011-05-30;1;0;1;0;93;0;0;4
2011-05-31;3;0;3;0;60;0;0;6
2011-06-01;0;0;0;0;0;0;0;0
2011-06-02;0;0;0;0;8;0;0;10
2011-06-03;0;0;0;0;67;0;0;9
2011-06-04;0;0;1;0;121;0;0;14
2011-06-05;5;0;2;0;75;1;0;4
2011-06-06;0;0;0;0;45;0;0;3
2011-06-07;0;0;0;0;38;0;0;10
2011-06-08;1;0;0;0;39;0;0;6
2011-06-09;0;0;0;0;10;0;0;11
2011-06-10;0;0;0;0;26;8;0;19
2011-06-11;0;0;0;0;13;0;0;2
2011-06-12;0;0;0;0;16;0;0;6
2011-06-13;0;0;0;0;26;0;0;8
2011-06-14;0;0;0;0;7;0;0;10
2011-06-15;0;1;0;0;34;0;0;21
2011-06-16;0;0;0;0;28;0;0;14
2011-06-17;0;0;6;0;18;0;0;25
2011-06-18;0;0;0;0;1;0;0;0
2011-06-19;0;0;1;0;24;1;0;13
2011-06-20;0;1;0;0;14;1;0;19
2011-06-21;0;0;0;0;23;0;0;15
2011-06-22;1;0;0;0;16;0;0;16
2011-06-23;0;0;0;0;2;0;0;4
2011-06-24;0;0;0;0;9;0;0;18
2011-06-25;0;0;1;0;36;0;0;38
